,layers,thresholds,learning rates,epochs,layer_n,epoch,train accuracy,validation accuracy
44,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,42,0.6067110896110535,0.48500001430511475
45,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,43,0.611311137676239,0.48539999127388
46,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,44,0.611822247505188,0.48579999804496765
47,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,45,0.613777756690979,0.48559999465942383
48,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,46,0.6218666434288025,0.48919999599456787
49,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,47,0.6214666962623596,0.4862000048160553
50,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,48,0.6246222257614136,0.4952000081539154
51,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,49,0.6216222047805786,0.4896000027656555
52,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,50,0.6373111009597778,0.4934000074863434
53,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,51,0.6318444609642029,0.4821999967098236
54,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,52,0.6371111273765564,0.4925999939441681
55,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,53,0.6353111267089844,0.492000013589859
56,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,54,0.6480222344398499,0.48840001225471497
57,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,55,0.6460666656494141,0.4832000136375427
58,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,56,0.6443777680397034,0.5019999742507935
59,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,57,0.650688886642456,0.49140000343322754
60,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,58,0.6600888967514038,0.49160000681877136
61,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,59,0.6621333360671997,0.4860000014305115
62,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,60,0.6576666831970215,0.49900001287460327
63,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,61,0.659155547618866,0.4966000020503998
64,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,62,0.6663777828216553,0.49239999055862427
65,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,63,0.6772444248199463,0.48899999260902405
66,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,64,0.6845999956130981,0.49779999256134033
67,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,65,0.6819999814033508,0.49559998512268066
68,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,1,0.23668888211250305,0.23659999668598175
69,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,2,0.3305777907371521,0.3230000138282776
70,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,3,0.3594222366809845,0.3483999967575073
